name,year,theme,theme_id,num_parts,img_url
The Fauna Collection – Macaw Parrots,2024,LEGO Art,709,644,https://cdn.rebrickable.com/media/sets/31211-1.jpg
The Milky Way Galaxy,2024,LEGO Art,709,3091,https://cdn.rebrickable.com/media/sets/31212-1.jpg
Mona Lisa,2024,LEGO Art,709,1503,https://cdn.rebrickable.com/media/sets/31213-1.jpg
LOVE,2025,LEGO Art,709,791,https://cdn.rebrickable.com/media/sets/31214-1.jpg
Bracelet and Pendant,1979,Scala,668,59,https://cdn.rebrickable.com/media/sets/312-2.jpg
1-2-3 Marie,2001,Scala,668,27,https://cdn.rebrickable.com/media/sets/3122-1.jpg
Tanker,1973,Boat,363,112,https://cdn.rebrickable.com/media/sets/312-3.jpg
Emma's Chill-Out Kitchen,2001,Scala,668,66,https://cdn.rebrickable.com/media/sets/3123-1.jpg
Boats,1961,System,365,107,https://cdn.rebrickable.com/media/sets/312-4.jpg
Indie's Stable,2001,Scala,668,117,https://cdn.rebrickable.com/media/sets/3124-1.jpg
Preschool Playtable,2004,Duplo,504,18,https://cdn.rebrickable.com/media/sets/3125-1.jpg
Green Bucket,2001,Basic Set,505,40,https://cdn.rebrickable.com/media/sets/3126-1.jpg
Swinging Stroller,1999,Scala,668,19,https://cdn.rebrickable.com/media/sets/3130-1.jpg
"Clikits Wallet, Hearts (Pink)",2008,Gear,501,0,https://cdn.rebrickable.com/media/sets/31307-1.jpg
London Bus,1966,System,365,140,https://cdn.rebrickable.com/media/sets/313-1.jpg
Mindstorms EV3,2013,EV3,262,601,https://cdn.rebrickable.com/media/sets/31313-1.jpg
Racers Super Speedway Game,2001,Tabletop Games and Puzzles,741,126,https://cdn.rebrickable.com/media/sets/31314-1.jpg
Knights' Kingdom: Save the Kingdom Game,2004,Knights Kingdom II,198,48,https://cdn.rebrickable.com/media/sets/31317-1.jpg
Bracelet and Pendant,1979,Scala,668,59,https://cdn.rebrickable.com/media/sets/313-2.jpg
Emma,1999,Scala,668,11,https://cdn.rebrickable.com/media/sets/3132-1.jpg
Andrea in Jogging Suit,1999,Scala,668,10,https://cdn.rebrickable.com/media/sets/3133-1.jpg
Marie in Happy Flowers,1999,Scala,668,10,https://cdn.rebrickable.com/media/sets/3134-1.jpg
Olivia in Fancy Wear,1999,Scala,668,11,https://cdn.rebrickable.com/media/sets/3135-1.jpg
Christian in Blue Jeans,1999,Scala,668,9,https://cdn.rebrickable.com/media/sets/3136-1.jpg
Casual Wear for Men,1999,Scala,668,3,https://cdn.rebrickable.com/media/sets/3137-1.jpg
Fashion Wear for Ladies,1999,Scala,668,3,https://cdn.rebrickable.com/media/sets/3138-1.jpg
Windbreaker and Jeans,1999,Scala,668,3,https://cdn.rebrickable.com/media/sets/3139-1.jpg
Dancing Circle Dress for Girls,1999,Scala,668,4,https://cdn.rebrickable.com/media/sets/3140-1.jpg
Police Boat,1976,Boat,363,53,https://cdn.rebrickable.com/media/sets/314-1.jpg
Snuggly Baby Wear,1999,Scala,668,4,https://cdn.rebrickable.com/media/sets/3141-1.jpg
Large & Small Wheels & Turn-Table,1963,Supplemental,371,35,https://cdn.rebrickable.com/media/sets/314-2.jpg
Marie's Room,1999,Scala,668,125,https://cdn.rebrickable.com/media/sets/3142-1.jpg
Camping Trip,1999,Scala,668,82,https://cdn.rebrickable.com/media/sets/3143-1.jpg
Horse Stable,1999,Scala,668,40,https://cdn.rebrickable.com/media/sets/3144-1.jpg
Carry and Shopping Accessories,1999,Scala,668,15,https://cdn.rebrickable.com/media/sets/3146-1.jpg
Carla's Winter Camp,2000,Scala,668,172,https://cdn.rebrickable.com/media/sets/3148-1.jpg
Happy Home,2000,Scala,668,274,https://cdn.rebrickable.com/media/sets/3149-1.jpg
Puppy Playground,2000,Scala,668,44,https://cdn.rebrickable.com/media/sets/3150-1.jpg
Basic Building Set,1990,Basic,467,62,https://cdn.rebrickable.com/media/sets/315-1.jpg
Emma on the Move,2000,Scala,668,71,https://cdn.rebrickable.com/media/sets/3151-1.jpg
Container Transport,1976,Boat,363,86,https://cdn.rebrickable.com/media/sets/315-2.jpg
Playroom for the Baby Thomas,2000,Scala,668,84,https://cdn.rebrickable.com/media/sets/3152-1.jpg
European Taxi,1963,System,365,48,https://cdn.rebrickable.com/media/sets/315-3.jpg
European Taxi,1968,Samsonite,756,48,https://cdn.rebrickable.com/media/sets/315-4.jpg
Olivia in Smooth Dress,2000,Scala,668,14,https://cdn.rebrickable.com/media/sets/3155-1.jpg
Hot Wear for Woman,2000,Scala,668,3,https://cdn.rebrickable.com/media/sets/3156-1.jpg
Cool Wear for Girls,2000,Scala,668,2,https://cdn.rebrickable.com/media/sets/3157-1.jpg
Christian in Tough Wear,2000,Scala,668,8,https://cdn.rebrickable.com/media/sets/3158-1.jpg
